தன்+pron+3sg+refl+nom+add	தனும்
தாம்+pron+3pl+refl+nom+add	தாமும்
தான்+pron+3sg+refl+nom+add	தானும்
தாங்கள்+pron+3pl+refl+nom+add	தாங்களும்
உது+pron+dem+med+2sgn+nom+add	உதுவும்
உம்+pron+pssd+2sgh+nom+add	உமும்
உன்+pron+pssd+med+2sg+nom+add	உனும்
உங்கள்+pron+pssd+2plh+nom+add	உங்களும்
உவன்+pron+2sgm+dem+med+nom+add	உவனும்
உவள்+pron+2sgf+dem+med+nom+add	உவளும்
உவர்+pron+2sgh+dem+med+nom+add	உவரும்
உவர்கள்+pron+2sgh+dem+med+nom+add	உவர்களும்
உவர்கள்+pron+2pl+dem+med+nom+add	உவர்களும்
உவை+pron+dem+med+2pl+nom+add	உவையும்
இது+pron+dem+prox+2sgn+nom+add	இதுவும்
இவன்+pron+2sgm+dem+prox+nom+add	இவனும்
இவள்+pron+2sgf+dem+prox+nom+add	இவளும்
இவர்+pron+2sgh+dem+prox+nom+add	இவரும்
இவர்கள்+pron+2sgh+dem+prox+nom+add	இவர்களும்
இவர்கள்+pron+2pl+dem+prox+nom+add	இவர்களும்
இவை+pron+dem+prox+2pl+nom+add	இவையும்
அது+pron+dem+dist+3sgn+nom+add	அதுவும்
அது+pron+dem+dist+pl+3sgn+nom+add	அதுவும்
அவன்+pron+dem+dist+3sgm+dem+nom+add	அவனும்
அவள்+pron+dem+dist+3sgf+dem+nom+add	அவளும்
அவர்+pron+dem+dist+3sgh+dem+nom+add	அவரும்
அவர்கள்+pron+3sgh+dem+dist+nom+add	அவர்களும்
அவர்கள்+pron+3pl+dem+dist+nom+add	அவர்களும்
அவை+pron+dem+dist+3pl+nom+add	அவையும்
நம்+pron+pssd+1pl+incl+nom+add	நமும்
நாம்+pron+1pl+incl+nom+add	நாமும்
நான்+pron+1sg+nom+add	நானும்
நாங்கள்+pron+1pl+excl+nom+add	நாங்களும்
நீ+pron+2sg+nom+add	நீயும்
நீங்கள்+pron+2plh+nom+add	நீங்களும்
நீர்+pron+2sgh+nom+add	நீரும்
எம்+pron+pssd+1pl+excl+nom+add	எமும்
என்+pron+pssd+1sg+nom+add	எனும்
என்+pron+pssd+1sg+nom+cmpr+add	என்போலும்
எங்கள்+pron+pssd+1pl+excl+nom+add	எங்களும்
இது+pron+dem+prox+2sgn+abl+add	இதனும்
இது+pron+dem+prox+2sgn+loc+add	இதனிடமும்
இது+pron+dem+prox+2sgn+loc+add	இதனிலும்
இது+pron+dem+prox+2sgn+loc+foc=ஏயே	இதனிலேயே
இது+pron+dem+prox+2sgn+gen+add	இதனதும்
இது+pron+dem+prox+2sgn+soc+add	இதனோடும்
இது+pron+dem+prox+2sgn+inst+add	இதனாலும்
இது+pron+dem+prox+pl+2sgn+gen+add	இதுகளதும்
இது+pron+dem+prox+pl+2sgn+acc+add	இதுகளையும்
இது+pron+dem+prox+pl+2sgn+acc+sandhip	இதுகளைப்
இது+pron+dem+prox+pl+2sgn+acc+sandhic	இதுகளைச்
இது+pron+dem+prox+pl+2sgn+acc+sandhit	இதுகளைத்
இது+pron+dem+prox+pl+2sgn+acc+sandhik	இதுகளைக்
இது+pron+dem+prox+pl+2sgn+dat+add	இதுகளுக்கும்
இது+pron+dem+prox+pl+2sgn+loc+add	இதுகளிலும்
இது+pron+dem+prox+pl+2sgn+loc+foc=ஏயே	இதுகளிலேயே
இது+pron+dem+prox+pl+2sgn+abl+add	இதுகளிலிருந்தும்
இது+pron+dem+prox+pl+2sgn+loc+add	இதுகளிடமும்
இது+pron+dem+prox+pl+2sgn+abl+add	இதுகளினும்
இது+pron+dem+prox+pl+2sgn+soc+add	இதுகளோடும்
இது+pron+dem+prox+pl+2sgn+inst+add	இதுகளாலும்
இது+pron+dem+prox+2sgn+loc+add	இதிலும்
இது+pron+dem+prox+2sgn+loc+foc=ஏயே	இதிலேயே
இது+pron+dem+prox+2sgn+abl+add	இதிலிருந்தும்
இது+pron+dem+prox+2sgn+abl+add	இதினும்
இது+pron+dem+prox+2sgn+inst+add	இதாலும்
இது+pron+dem+prox+2sgn+acc+add	இதையும்
இது+pron+dem+prox+2sgn+dat+add	இதற்கும்
இது+pron+dem+prox+2sgn+soc+add	இதோடும்
இது+pron+dem+prox+pl+2sgn+acc+add	இவற்றையும்
இவன்+pron+2sgm+dem+prox+dat+add	இவனுக்கும்
இவன்+pron+2sgm+dem+prox+gen+add	இவனதும்
இவன்+pron+2sgm+dem+prox+loc+add	இவனிலும்
இவன்+pron+2sgm+dem+prox+loc+foc=ஏயே	இவனிலேயே
இவன்+pron+2sgm+dem+prox+abl+add	இவனிலிருந்தும்
இவன்+pron+2sgm+dem+prox+abl+add	இவனினும்
இவன்+pron+2sgm+dem+prox+loc+add	இவனிடமும்
இவன்+pron+2sgm+dem+prox+inst+add	இவனாலும்
இவன்+pron+2sgm+dem+prox+acc+add	இவனையும்
இவன்+pron+2sgm+dem+prox+acc+sandhip	இவனைப்
இவன்+pron+2sgm+dem+prox+acc+sandhic	இவனைச்
இவன்+pron+2sgm+dem+prox+acc+sandhit	இவனைத்
இவன்+pron+2sgm+dem+prox+acc+sandhik	இவனைக்
இவன்+pron+2sgm+dem+prox+soc+add	இவனொடும்
இவன்+pron+2sgm+dem+prox+soc+add	இவனோடும்
இவள்+pron+2sgf+dem+prox+dat+add	இவளுக்கும்
இவள்+pron+2sgf+dem+prox+gen+add	இவளதும்
இவள்+pron+2sgf+dem+prox+abl+add	இவளினும்
இவள்+pron+2sgf+dem+prox+loc+add	இவளிலும்
இவள்+pron+2sgf+dem+prox+loc+foc=ஏயே	இவளிலேயே
இவள்+pron+2sgf+dem+prox+abl+add	இவளிலிருந்தும்
இவள்+pron+2sgf+dem+prox+loc+add	இவளிடமும்
இவள்+pron+2sgf+dem+prox+inst+add	இவளாலும்
இவள்+pron+2sgf+dem+prox+acc+add	இவளையும்
இவள்+pron+2sgf+dem+prox+acc+sandhip	இவளைப்
இவள்+pron+2sgf+dem+prox+acc+sandhic	இவளைச்
இவள்+pron+2sgf+dem+prox+acc+sandhit	இவளைத்
இவள்+pron+2sgf+dem+prox+acc+sandhik	இவளைக்
இவள்+pron+2sgf+dem+prox+soc+add	இவளொடும்
இவள்+pron+2sgf+dem+prox+soc+add	இவளோடும்
இவர்+pron+2sgh+dem+prox+dat+add	இவருக்கும்
இவர்+pron+2sgh+dem+prox+gen+add	இவரதும்
இவர்+pron+2sgh+dem+prox+loc+add	இவரிலும்
இவர்+pron+2sgh+dem+prox+loc+foc=ஏயே	இவரிலேயே
இவர்+pron+2sgh+dem+prox+abl+add	இவரிலிருந்தும்
இவர்+pron+2sgh+dem+prox+loc+add	இவரிடமும்
இவர்+pron+2sgh+dem+prox+abl+add	இவரினும்
இவர்+pron+2sgh+dem+prox+inst+add	இவராலும்
இவர்+pron+2sgh+dem+prox+acc+add	இவரையும்
இவர்+pron+2sgh+dem+prox+acc+sandhip	இவரைப்
இவர்+pron+2sgh+dem+prox+acc+sandhic	இவரைச்
இவர்+pron+2sgh+dem+prox+acc+sandhit	இவரைத்
இவர்+pron+2sgh+dem+prox+acc+sandhik	இவரைக்
இவர்+pron+2sgh+dem+prox+soc+add	இவரொடும்
இவர்+pron+2sgh+dem+prox+soc+add	இவரோடும்
இவர்கள்+pron+2sgh+dem+prox+gen+add	இவர்களதும்
இவர்கள்+pron+2sgh+dem+prox+dat+add	இவர்களுக்கும்
இவர்கள்+pron+2sgh+dem+prox+loc+add	இவர்களிலும்
இவர்கள்+pron+2sgh+dem+prox+loc+foc=ஏயே	இவர்களிலேயே
இவர்கள்+pron+2sgh+dem+prox+abl+add	இவர்களிலிருந்தும்
இவர்கள்+pron+2sgh+dem+prox+loc+add	இவர்களிடமும்
இவர்கள்+pron+2sgh+dem+prox+abl+add	இவர்களினும்
இவர்கள்+pron+2sgh+dem+prox+soc+add	இவர்களோடும்
இவர்கள்+pron+2sgh+dem+prox+inst+add	இவர்களாலும்
இவர்கள்+pron+2sgh+dem+prox+acc+add	இவர்களையும்
இவர்கள்+pron+2sgh+dem+prox+acc+sandhip	இவர்களைப்
இவர்கள்+pron+2sgh+dem+prox+acc+sandhic	இவர்களைச்
இவர்கள்+pron+2sgh+dem+prox+acc+sandhit	இவர்களைத்
இவர்கள்+pron+2sgh+dem+prox+acc+sandhik	இவர்களைக்
இவர்கள்+pron+2sgh+dem+prox+soc+add	இவர்களொடும்
இவர்கள்+pron+2pl+dem+prox+dat+add	இவர்களுக்கும்
இவர்கள்+pron+2pl+dem+prox+gen+add	இவர்களதும்
இவர்கள்+pron+2pl+dem+prox+loc+add	இவர்களிலும்
இவர்கள்+pron+2pl+dem+prox+loc+foc=ஏயே	இவர்களிலேயே
இவர்கள்+pron+2pl+dem+prox+abl+add	இவர்களிலிருந்தும்
இவர்கள்+pron+2pl+dem+prox+abl+add	இவர்களினும்
இவர்கள்+pron+2pl+dem+prox+loc+add	இவர்களிடமும்
இவர்கள்+pron+2pl+dem+prox+inst+add	இவர்களாலும்
இவர்கள்+pron+2pl+dem+prox+acc+add	இவர்களையும்
இவர்கள்+pron+2pl+dem+prox+acc+sandhip	இவர்களைப்
இவர்கள்+pron+2pl+dem+prox+acc+sandhic	இவர்களைச்
இவர்கள்+pron+2pl+dem+prox+acc+sandhit	இவர்களைத்
இவர்கள்+pron+2pl+dem+prox+acc+sandhik	இவர்களைக்
இவர்கள்+pron+2pl+dem+prox+soc+add	இவர்களொடும்
இவர்கள்+pron+2pl+dem+prox+soc+add	இவர்களோடும்
இவை+pron+dem+prox+2pl+dat+add	இவைக்கும்
இவை+pron+dem+prox+2pl+gen+add	இவைகளதும்
இவை+pron+dem+prox+2pl+acc+add	இவைகளையும்
இவை+pron+dem+prox+2pl+acc+sandhip	இவைகளைப்
இவை+pron+dem+prox+2pl+acc+sandhic	இவைகளைச்
இவை+pron+dem+prox+2pl+acc+sandhit	இவைகளைத்
இவை+pron+dem+prox+2pl+acc+sandhik	இவைகளைக்
இவை+pron+dem+prox+2pl+dat+add	இவைகளுக்கும்
இவை+pron+dem+prox+2pl+loc+add	இவைகளிலும்
இவை+pron+dem+prox+2pl+loc+foc=ஏயே	இவைகளிலேயே
இவை+pron+dem+prox+2pl+abl+add	இவைகளிலிருந்தும்
இவை+pron+dem+prox+2pl+loc+add	இவைகளிடமும்
இவை+pron+dem+prox+2pl+abl+add	இவைகளினும்
இவை+pron+dem+prox+2pl+soc+add	இவைகளோடும்
இவை+pron+dem+prox+2pl+inst+add	இவைகளாலும்
இவை+pron+dem+prox+2pl+gen+add	இவையதும்
