என்+pron+pssd+1sg+gen	என்னுடைய
எங்கள்+pron+pssd+1pl+excl+gen	எங்களுடைய
நம்+pron+pssd+1pl+incl+gen	நம்முடைய
உன்+pron+pssd+2sg+gen	உன்னுடைய
உங்கள்+pron+pssd+2plh+gen	உங்களுடைய
தன்+pron+3sg+refl+gen	தன்னுடைய
தாங்கள்+pron+3pl+refl+gen	தங்களுடைய
அவன்+pron+dem+dist+3sgm+gen	அவனுடைய
அவள்+pron+dem+dist+3sgf+gen	அவளுடைய
அவர்+pron+dem+dist+3sgh+gen	அவருடைய
அவர்கள்+pron+dem+dist+3pl+gen	அவர்களுடைய
அது+pron+dem+dist+3sgn+gen	அதனுடைய
அவை+pron+dem+dist+3pln+gen	அவற்றுடைய
இவன்+pron+dem+prox+3sgm+gen	இவனுடைய
இவள்+pron+dem+prox+3sgf+gen	இவளுடைய
இவர்+pron+dem+prox+3sgh+gen	இவருடைய
இவர்கள்+pron+dem+prox+3pl+gen	இவர்களுடைய
இது+pron+dem+prox+3sgn+gen	இதனுடைய
இவை+pron+dem+prox+3pln+gen	இவற்றுடைய
இது+pron+dem+prox+3sgn+acc	இதனை
இது+pron+dem+prox+3sgn+acc+add	இதனையும்
இது+pron+dem+prox+3sgn+acc+foc=ஏ	இதனையே
இது+pron+dem+prox+3sgn+acc+sandhip	இதனைப்
இது+pron+dem+prox+3sgn+acc+sandhic	இதனைச்
இது+pron+dem+prox+3sgn+acc+sandhit	இதனைத்
இது+pron+dem+prox+3sgn+acc+sandhik	இதனைக்
அது+pron+dem+dist+3sgn+acc	அதனை
அது+pron+dem+dist+3sgn+acc+add	அதனையும்
அது+pron+dem+dist+3sgn+acc+foc=ஏ	அதனையே
அது+pron+dem+dist+3sgn+acc+sandhip	அதனைப்
அது+pron+dem+dist+3sgn+acc+sandhic	அதனைச்
அது+pron+dem+dist+3sgn+acc+sandhit	அதனைத்
அது+pron+dem+dist+3sgn+acc+sandhik	அதனைக்
எது+pron+inter+3sgn+acc	எதனை
எது+pron+inter+3sgn+acc+add	எதனையும்
எது+pron+inter+3sgn+acc+foc=ஏ	எதனையே
எது+pron+inter+3sgn+acc+sandhip	எதனைப்
எது+pron+inter+3sgn+acc+sandhic	எதனைச்
எது+pron+inter+3sgn+acc+sandhit	எதனைத்
எது+pron+inter+3sgn+acc+sandhik	எதனைக்
இது+pron+dem+prox+3sgn+dat+cop=ஆ+adjpart=ன	இதற்கான
அது+pron+dem+dist+3sgn+dat+cop=ஆ+adjpart=ன	அதற்கான
எது+pron+inter+3sgn+dat+cop=ஆ+adjpart=ன	எதற்கான
இவர்+pron+dem+prox+3sgh+dat+cop=ஆ+adjpart=ன	இவருக்கான
அவர்+pron+dem+dist+3sgh+dat+cop=ஆ+adjpart=ன	அவருக்கான
என்+pron+pssd+1sg+dat+cop=ஆ+adjpart=ன	எனக்கான
உன்+pron+pssd+2sg+dat+cop=ஆ+adjpart=ன	உனக்கான
நம்+pron+pssd+1pl+incl+dat+cop=ஆ+adjpart=ன	நமக்கான
எங்கள்+pron+pssd+1pl+excl+dat+cop=ஆ+adjpart=ன	எங்களுக்கான
உங்கள்+pron+pssd+2plh+dat+cop=ஆ+adjpart=ன	உங்களுக்கான
