அறுபது+cardinal+trans+colloq	அறுபதா
ஆகு+verb+nonfin+sim+past=இ+adjpart=அ+PartNoun=அது+pl+trans=ஆக+colloq	ஆகியவற்றா
ஆயிரம்+cardinal+trans+colloq	ஆயிரமா
ஆறு+cardinal+trans+colloq	ஆறா
இரண்டு+cardinal+trans+colloq	இரண்டா
இருநூறு+cardinal+trans+colloq	இருநூறா
இருபது+cardinal+trans+colloq	இருபதா
இருபத்திநான்கு+cardinal+trans+colloq	இருபத்திநான்கா
இருபத்திமூன்று+cardinal+trans+colloq	இருபத்திமூன்றா
இருபத்தியாறு+cardinal+trans+colloq	இருபத்தியாறா
இருபத்தியிரண்டு+cardinal+trans+colloq	இருபத்தியிரண்டா
இருபத்தியெட்டு+cardinal+trans+colloq	இருபத்தியெட்டா
இருபத்தியேழு+cardinal+trans+colloq	இருபத்தியேழா
இருபத்தியைந்து+cardinal+trans+colloq	இருபத்தியைந்தா
இருபத்தியொன்பது+cardinal+trans+colloq	இருபத்தியொன்பதா
இருபத்தியொன்று+cardinal+trans+colloq	இருபத்தியொன்றா
ஊடு+pp-particle+trans=ஆக+colloq	ஊடா
எட்டு+cardinal+trans+colloq	எட்டா
எதிர்+pp-particle+trans+colloq	எதிரா
எழுநூறு+cardinal+trans+colloq	எழுநூறா
ஏழு+cardinal+trans+colloq	ஏழா
ஐந்து+cardinal+trans+colloq	ஐந்தா
ஐம்பது+cardinal+trans+colloq	ஐம்பதா
ஒன்பது+cardinal+trans+colloq	ஒன்பதா
ஒன்று+cardinal+human+trans=ஆக+colloq	ஒருவரா
ஒன்று+cardinal+trans+colloq	ஒன்றா
ஒரு+cardinal+trans+colloq	ஒரா
கோடி+cardinal+trans+colloq	கோடிா
சைபர்+cardinal+trans+colloq	சைபரா
தொண்ணூறு+cardinal+trans+colloq	தொண்ணூறா
நான்கு+cardinal+trans+colloq	நான்கா
நாற்பது+cardinal+trans+colloq	நாற்பதா
நூறு+cardinal+trans+colloq	நூறா
பதினான்கு+cardinal+trans+colloq	பதினான்கா
பதினாறு+cardinal+trans+colloq	பதினாறா
பதினெட்டு+cardinal+trans+colloq	பதினெட்டா
பதினேழு+cardinal+trans+colloq	பதினேழா
பதினைந்து+cardinal+trans+colloq	பதினைந்தா
பதினொன்று+cardinal+trans+colloq	பதினொன்றா
பதின்மூன்று+cardinal+trans+colloq	பதின்மூன்றா
பத்து+cardinal+trans+colloq	பத்தா
பத்தொன்பது+cardinal+trans+colloq	பத்தொன்பதா
பன்னிரண்டு+cardinal+trans+colloq	பன்னிரண்டா
பூஜ்ஜியம்+cardinal+trans+colloq	பூஜ்ஜியமா
பெரிது+adj+trans=ஆக+colloq	பெரிதா
போல்+pp-particle+adjpart=அ+PartNoun=அது+pl+trans=ஆக+colloq	போன்றவற்றா
முன்+pp-particle+time+trans=ஆக+colloq	முன்பா
முப்பது+cardinal+trans+colloq	முப்பதா
மூன்று+cardinal+trans+colloq	மூன்றா
லட்சம்+cardinal+trans+colloq	லட்சமா
வைரல்+adj+trans=ஆக+colloq	வைரலா
