யார்+pron+inter+human+nom+colloq	யாரு
எப்போது+adv+inter+time+colloq	எப்போ
எப்போது+adv+inter+time+add+colloq	எப்பவும்
என்+pron+pssd+1sg+gen+colloq	என்னோட
என்+pron+pssd+1sg+soc+colloq	என்னோட
இது+pron+dem+prox+3sgn+loc+colloq	இதுல
அது+pron+dem+dist+3sgn+acc+colloq	அத
இவ்வளவு+dem+prox+degree+colloq	இவ்ளோ
பெயர்+noun+nom+colloq	பேரு
அது+pron+dem+dist+3sgn+nom+all+colloq	அதெல்லாம்
இது+pron+dem+prox+3sgn+acc+all	இதையெல்லாம்
இவர்கள்+pron+3pl+dem+prox+nom+colloq	இவங்க
உங்கள்+pron+pssd+2plh+acc+colloq	உங்கள
எங்கள்+pron+pssd+1pl+excl+acc+colloq	எங்கள
எல்லாம்+quant+all+PartNoun=அது+pl+acc+add=உம்+colloq	எல்லாத்தையும்
எது+pron+inter+3sgn+indef+colloq	எதோ
அது+pron+dem+dist+3sgn+gen+colloq	அதோட
உங்கள்+pron+pssd+2plh+gen+colloq	உங்களோட
இப்போது+adv+time+dem+prox+foc=தான்+colloq	இப்பதான்
இப்போது+adv+time+dem+prox+foc=ஏ+colloq	இப்பவே
எப்போது+adv+inter+time+add+foc=ஏ+colloq	எப்பவுமே
இது+pron+dem+prox+3sgn+acc+foc=தான்	இதைத்தான்
வேண்டாம்+modal+neg+prohib+ques=ஆ	வேண்டாமா
வேண்டாம்+modal+neg+prohib+foc=ஏ	வேண்டாமே
ஆம்+pp-particle+colloq	ஆமா
