அது+pron+dem+dist+3sgn+nom+ques=ஆ	அதுவா
அவன்+pron+dem+dist+3sgm+dem+nom+ques=ஆ	அவனா
அவர்+pron+dem+dist+3sgh+dem+nom+ques=ஆ	அவரா
அவர்கள்+pron+3pl+dem+dist+nom+ques=ஆ	அவர்களா
அவர்கள்+pron+3sgh+dem+dist+nom+ques=ஆ	அவர்களா
அவள்+pron+dem+dist+3sgf+dem+nom+ques=ஆ	அவளா
அவை+pron+dem+dist+3pl+nom+ques=ஆ	அவையா
இது+pron+dem+prox+3sgn+nom+ques=ஆ	இஃதுவா
இது+pron+dem+prox+3sgn+nom+ques=ஆ	இதுவா
இவன்+pron+3sgm+dem+prox+nom+ques=ஆ	இவனா
இவர்+pron+3sgh+dem+prox+nom+ques=ஆ	இவரா
இவர்கள்+pron+3pl+dem+prox+nom+ques=ஆ	இவர்களா
இவள்+pron+3sgf+dem+prox+nom+ques=ஆ	இவளா
இவை+pron+dem+prox+3pln+nom+ques=ஆ	இவையா
உது+pron+dem+med+3sgn+nom+ques=ஆ	உதுவா
உவன்+pron+3sgm+dem+med+nom+ques=ஆ	உவனா
உவர்+pron+3sgh+dem+med+nom+ques=ஆ	உவரா
உவர்கள்+pron+3pl+dem+med+nom+ques=ஆ	உவர்களா
உவள்+pron+3sgf+dem+med+nom+ques=ஆ	உவளா
உவை+pron+dem+med+3pln+nom+ques=ஆ	உவையா
எது+pron+inter+3sgn+nom+ques=ஆ	எதுவா
எவன்+pron+inter+human+3sgm+nom+ques=ஆ	எவனா
எவர்+pron+inter+human+nom+ques=ஆ	எவரா
எவள்+pron+inter+human+3sgf+nom+ques=ஆ	எவளா
எவை+pron+inter+3pln+nom+ques=ஆ	எவையா
தன்+pron+3sg+refl+nom+ques=ஆ	தனா
தாங்கள்+pron+3pl+refl+nom+ques=ஆ	தாங்களா
தான்+pron+3sg+refl+nom+ques=ஆ	தானா
தாம்+pron+3pl+refl+nom+ques=ஆ	தாமா
நாங்கள்+pron+1pl+excl+nom+ques=ஆ	நாங்களா
நான்+pron+1sg+nom+ques=ஆ	நானா
நாம்+pron+1pl+incl+nom+ques=ஆ	நாமா
நீ+pron+2sg+nom+ques=ஆ	நீயா
நீங்கள்+pron+2plh+nom+ques=ஆ	நீங்களா
நீர்+pron+2sgh+nom+ques=ஆ	நீரா
பிறர்+pron+human+3pl+nom+ques=ஆ	பிறரா
யான்+pron+1sg+nom+ques=ஆ	யானா
யாம்+pron+1pl+nom+ques=ஆ	யாமா
யார்+pron+inter+human+nom+ques=ஆ	யாரா
