ஒவ்வொரு+quant+distrib+human+nom	ஒவ்வொருவர்
ஒவ்வொரு+quant+distrib+human+nom+add	ஒவ்வொருவரும்
ஒவ்வொரு+quant+distrib+human+nom+foc=தான்	ஒவ்வொருவர்தான்
ஒவ்வொரு+quant+distrib+human+acc	ஒவ்வொருவரை
ஒவ்வொரு+quant+distrib+human+acc+add	ஒவ்வொருவரையும்
ஒவ்வொரு+quant+distrib+human+dat	ஒவ்வொருவருக்கு
ஒவ்வொரு+quant+distrib+human+dat+add	ஒவ்வொருவருக்கும்
ஒவ்வொரு+quant+distrib+human+inst	ஒவ்வொருவரால்
ஒவ்வொரு+quant+distrib+human+gen	ஒவ்வொருவரின்
ஒவ்வொரு+quant+distrib+human+loc	ஒவ்வொருவரிடம்
ஒவ்வொரு+quant+distrib+human+soc	ஒவ்வொருவருடன்
ஒவ்வொரு+quant+distrib+human+trans	ஒவ்வொருவராக
ஒவ்வொரு+quant+distrib+human+nom+ques=ஆ	ஒவ்வொருவரா
ஒவ்வொரு+quant+distrib+3sgn+nom	ஒவ்வொன்று
ஒவ்வொரு+quant+distrib+3sgn+nom+add	ஒவ்வொன்றும்
ஒவ்வொரு+quant+distrib+3sgn+nom+foc=தான்	ஒவ்வொன்றுதான்
ஒவ்வொரு+quant+distrib+3sgn+acc	ஒவ்வொன்றை
ஒவ்வொரு+quant+distrib+3sgn+acc+add	ஒவ்வொன்றையும்
ஒவ்வொரு+quant+distrib+3sgn+dat	ஒவ்வொன்றுக்கு
ஒவ்வொரு+quant+distrib+3sgn+inst	ஒவ்வொன்றால்
ஒவ்வொரு+quant+distrib+3sgn+gen	ஒவ்வொன்றின்
ஒவ்வொரு+quant+distrib+3sgn+loc	ஒவ்வொன்றில்
ஒவ்வொரு+quant+distrib+3sgn+soc	ஒவ்வொன்றுடன்
ஒவ்வொரு+quant+distrib+3sgn+trans	ஒவ்வொன்றாக
ஒவ்வொரு+quant+distrib+3sgn+nom+ques=ஆ	ஒவ்வொன்றா
போல+pp-particle+add	போலவும்
போல+pp-particle+foc=தான்	போலத்தான்
போல+pp-particle+foc=ஏ+colloq	போலயே
இது+pron+dem+prox+3sgn+nom+psp_mathiri	இதுபோல
இது+pron+dem+prox+3sgn+nom+psp_mathiri	இதுபோன்று
இது+pron+dem+prox+3sgn+nom+foc=ஏ+psp_mathiri	இதேபோல
இது+pron+dem+prox+3sgn+nom+foc=ஏ+psp_mathiri	இதேபோன்று
அது+pron+dem+dist+3sgn+nom+psp_mathiri	அதுபோல
அது+pron+dem+dist+3sgn+nom+psp_mathiri	அதுபோன்று
அது+pron+dem+dist+3sgn+nom+foc=ஏ+psp_mathiri	அதேபோல
அது+pron+dem+dist+3sgn+nom+foc=ஏ+psp_mathiri	அதேபோன்று
அது+pron+dem+dist+3sgn+nom+psp_mathiri+foc=ஏ	அதுபோலவே
