அது+pron+dem+dist+3sgn+loc+colloq	அதுல
அது+pron+dem+dist+pl+3pln+loc+colloq	அதுகளுல
அவன்+pron+dem+dist+3sgm+dem+loc+colloq	அவனுல
அவர்+pron+dem+dist+3sgh+dem+loc+colloq	அவருல
அவர்கள்+pron+3pl+dem+dist+loc+colloq	அவர்களுல
அவர்கள்+pron+3sgh+dem+dist+loc+colloq	அவர்களுல
அவள்+pron+dem+dist+3sgf+dem+loc+colloq	அவளுல
அவை+pron+dem+dist+3pl+loc+colloq	அவற்றுல
அவை+pron+dem+dist+3pl+loc+colloq	அவைகளுல
அவை+pron+dem+dist+3pl+loc+colloq	அவையுல
இது+pron+dem+prox+3sgn+loc+colloq	இதனுல
இது+pron+dem+prox+pl+3pln+loc+colloq	இதுகளுல
இவன்+pron+3sgm+dem+prox+loc+colloq	இவனுல
இவர்+pron+3sgh+dem+prox+loc+colloq	இவருல
இவர்கள்+pron+3pl+dem+prox+loc+colloq	இவர்களுல
இவள்+pron+3sgf+dem+prox+loc+colloq	இவளுல
இவை+pron+dem+prox+3pln+loc+colloq	இவற்றுல
இவை+pron+dem+prox+3pln+loc+colloq	இவைகளுல
இவை+pron+dem+prox+3pln+loc+colloq	இவையுல
உங்கள்+pron+pssd+2plh+loc+colloq	உங்களுல
உது+pron+dem+med+3sgn+loc+colloq	உதுகளுல
உன்+pron+pssd+med+2sg+loc+colloq	உன்னுல
உம்+pron+pssd+2sgh+loc+colloq	உம்முல
உவன்+pron+3sgm+dem+med+loc+colloq	உவனுல
உவர்+pron+3sgh+dem+med+loc+colloq	உவருல
உவர்கள்+pron+3pl+dem+med+loc+colloq	உவர்களுல
உவள்+pron+3sgf+dem+med+loc+colloq	உவளுல
உவை+pron+dem+med+3pln+loc+colloq	உவைகளுல
எங்கள்+pron+pssd+1pl+excl+loc+colloq	எங்களுல
எது+pron+inter+3sgn+loc+colloq	எதுல
என்+pron+pssd+1sg+loc+colloq	என்னுல
எம்+pron+pssd+1pl+excl+loc+colloq	எம்முல
எவை+pron+inter+3pln+loc+colloq	எவற்றுல
தன்+pron+3sg+refl+loc+colloq	தன்னுல
தாங்கள்+pron+3pl+refl+loc+colloq	தங்களுல
தாம்+pron+3pl+refl+loc+colloq	தம்முல
நம்+pron+pssd+1pl+incl+loc+colloq	நம்முல
