முன்னர்+adv+foc=ஏ	முன்னரே
பிறகு+adv+foc=ஏ	பிறகே
பிறகு+adv+foc=தான்	பிறகுதான்
என்று+adv+indef=ஓ	என்றோ
என்று+adv+add=உம்+foc=ஏ	என்றுமே
எப்படி+adv+indef=ஆவது	எப்படியாவது
எப்படி+adv+add=உம்	எப்படியும்
இப்படி+adv+foc=தான்	இப்படித்தான்
இப்படி+adv+foc=ஏ	இப்படியே
அப்படி+adv+ques=ஆ	அப்படியா
எவ்வளவு+quant+inter+degree+indef=ஓ	எவ்வளவோ
அவ்வளவு+dem+dist+degree+foc=தான்	அவ்வளவுதான்
என்ன+pron+inter+indef=ஓ+colloq	என்னமோ
எது+pron+inter+3sgn+nom+indef=ஆவது+colloq	எதாவது
எது+pron+inter+3sgn+acc+indef=ஆவது	எதையாவது
எங்கே+adv+add=உம்	எங்கேயும்
எங்கு+adv+indef=ஆவது	எங்காவது
யார்+pron+inter+human+nom+all	யாரெல்லாம்
யார்+pron+inter+human+nom+indef=ஏனும்	யாரேனும்
எப்போது+dem+inter+time+adv+foc=தான்+colloq	எப்பதான்
அது+pron+dem+dist+3sgn+nom+foc=தான்+colloq	அதான்
சரி+adj	சரி
சரி+adj+foc=தான்	சரிதான்
சரி+adj+ques=ஆ	சரியா
ஒன்று+cardinal+foc=தான்	ஒன்றுதான்
அப்போது+dem+dist+time+adv+all	அப்போதெல்லாம்
போது+pp-particle+all	போதெல்லாம்
போது+pp-particle+foc=தான்	போதுதான்
டா+intj+voc+colloq	டா
என்ன+pron+inter+voc=அப்பா+colloq	என்னப்பா
என்ன+pron+inter+voc=டா+colloq	என்னடா
ஏன்+adv+voc=டா+colloq	ஏன்டா
ஏன்+adv+voc=டா+colloq	ஏண்டா
என்ன+pron+inter+voc=அய்யா+colloq	என்னய்யா
