இது+pron+dem+prox+pl+3pln+acc	இவற்றை
உங்கள்+pron+pssd+2plh+acc	உங்களை
உங்கள்+pron+pssd+2plh+dat	உங்களுக்கு
உங்கள்+pron+pssd+2plh+gen	உங்களது
உங்கள்+pron+pssd+2plh+gen	உங்களுடைய
உங்கள்+pron+pssd+2plh+inst	உங்களால்
உங்கள்+pron+pssd+2plh+loc	உங்களிடம்
உங்கள்+pron+pssd+2plh+soc	உங்களுடன்
உன்+pron+pssd+2sg+gen	உன்னுடைய
உன்+pron+pssd+med+2sg+acc	உன்னை
உன்+pron+pssd+med+2sg+dat	உனக்கு
உன்+pron+pssd+med+2sg+gen	உனது
உன்+pron+pssd+med+2sg+inst	உன்னால்
உன்+pron+pssd+med+2sg+loc	உன்னிடம்
உன்+pron+pssd+med+2sg+soc	உன்னுடன்
உம்+pron+pssd+2sgh+acc	உம்மை
உம்+pron+pssd+2sgh+dat	உமக்கு
உம்+pron+pssd+2sgh+gen	உமது
உம்+pron+pssd+2sgh+inst	உம்மால்
உம்+pron+pssd+2sgh+loc	உம்மிடம்
உம்+pron+pssd+2sgh+soc	உம்முடன்
எங்கள்+pron+pssd+1pl+excl+acc	எங்களை
எங்கள்+pron+pssd+1pl+excl+dat	எங்களுக்கு
எங்கள்+pron+pssd+1pl+excl+gen	எங்களது
எங்கள்+pron+pssd+1pl+excl+gen	எங்களுடைய
எங்கள்+pron+pssd+1pl+excl+inst	எங்களால்
எங்கள்+pron+pssd+1pl+excl+loc	எங்களிடம்
எங்கள்+pron+pssd+1pl+excl+soc	எங்களுடன்
என்+pron+pssd+1sg+acc	என்னை
என்+pron+pssd+1sg+dat	எனக்கு
என்+pron+pssd+1sg+gen	எனது
என்+pron+pssd+1sg+gen	என்னுடைய
என்+pron+pssd+1sg+inst	என்னால்
என்+pron+pssd+1sg+loc	என்னிடம்
என்+pron+pssd+1sg+soc	என்னுடன்
தன்+pron+3sg+refl+acc	தன்னை
தன்+pron+3sg+refl+dat	தனக்கு
தன்+pron+3sg+refl+gen	தனது
தன்+pron+3sg+refl+gen	தன்னுடைய
தன்+pron+3sg+refl+inst	தன்னால்
தன்+pron+3sg+refl+loc	தன்னிடம்
நம்+pron+pssd+1pl+incl+acc	நம்மை
நம்+pron+pssd+1pl+incl+dat	நமக்கு
நம்+pron+pssd+1pl+incl+gen	நமது
நம்+pron+pssd+1pl+incl+gen	நம்முடைய
நம்+pron+pssd+1pl+incl+inst	நம்மால்
நம்+pron+pssd+1pl+incl+loc	நம்மிடம்
நம்+pron+pssd+1pl+incl+soc	நம்முடன்
