அது+pron+dem+dist+3sgn+gen	அதன்
அது+pron+dem+dist+3sgn+inst	அதனால்
அது+pron+dem+dist+3sgn+soc	அதனுடன்
அவன்+pron+dem+dist+3sgm+dem+abl	அவனிடமிருந்து
அவன்+pron+dem+dist+3sgm+dem+gen	அவனின்
அவன்+pron+dem+dist+3sgm+dem+gen	அவனுடைய
அவன்+pron+dem+dist+3sgm+dem+soc	அவனுடன்
அவர்+pron+dem+dist+3sgh+dem+abl	அவரிடமிருந்து
அவர்+pron+dem+dist+3sgh+dem+gen	அவரின்
அவர்+pron+dem+dist+3sgh+dem+gen	அவருடைய
அவர்+pron+dem+dist+3sgh+dem+soc	அவருடன்
அவர்கள்+pron+3pl+dem+dist+abl	அவர்களிடமிருந்து
அவர்கள்+pron+3pl+dem+dist+gen	அவர்களின்
அவர்கள்+pron+3pl+dem+dist+gen	அவர்களுடைய
அவர்கள்+pron+3pl+dem+dist+soc	அவர்களுடன்
அவர்கள்+pron+3sgh+dem+dist+abl	அவர்களிடமிருந்து
அவர்கள்+pron+3sgh+dem+dist+gen	அவர்களின்
அவர்கள்+pron+3sgh+dem+dist+gen	அவர்களுடைய
அவர்கள்+pron+3sgh+dem+dist+soc	அவர்களுடன்
அவள்+pron+dem+dist+3sgf+dem+abl	அவளிடமிருந்து
அவள்+pron+dem+dist+3sgf+dem+gen	அவளின்
அவள்+pron+dem+dist+3sgf+dem+gen	அவளுடைய
அவள்+pron+dem+dist+3sgf+dem+soc	அவளுடன்
அவை+pron+dem+dist+3pl+acc	அவற்றை
அவை+pron+dem+dist+3pl+gen	அவற்றின்
இது+pron+dem+prox+3sgn+gen	இதன்
இது+pron+dem+prox+3sgn+soc	இதனுடன்
இவன்+pron+3sgm+dem+prox+abl	இவனிடமிருந்து
இவன்+pron+3sgm+dem+prox+gen	இவனின்
இவன்+pron+3sgm+dem+prox+gen	இவனுடைய
இவன்+pron+3sgm+dem+prox+soc	இவனுடன்
இவர்+pron+3sgh+dem+prox+abl	இவரிடமிருந்து
இவர்+pron+3sgh+dem+prox+gen	இவரின்
இவர்+pron+3sgh+dem+prox+gen	இவருடைய
இவர்+pron+3sgh+dem+prox+soc	இவருடன்
இவர்கள்+pron+3pl+dem+prox+abl	இவர்களிடமிருந்து
இவர்கள்+pron+3pl+dem+prox+gen	இவர்களின்
இவர்கள்+pron+3pl+dem+prox+gen	இவர்களுடைய
இவர்கள்+pron+3pl+dem+prox+soc	இவர்களுடன்
இவள்+pron+3sgf+dem+prox+abl	இவளிடமிருந்து
இவள்+pron+3sgf+dem+prox+gen	இவளின்
