அறுபது+cardinal+loc+colloq	அறுபதுல
ஆயிரம்+cardinal+loc+colloq	ஆயிரத்துல
ஆறு+cardinal+loc+colloq	ஆறுல
இரண்டு+cardinal+loc+colloq	இரண்டுல
இரண்டு+cardinal+loc+colloq	ரெண்டுல
இருநூறு+cardinal+loc+colloq	இருநூறுல
இருபது+cardinal+loc+colloq	இருபதுல
இருபத்திநான்கு+cardinal+loc+colloq	இருபத்திநான்குல
இருபத்திமூன்று+cardinal+loc+colloq	இருபத்திமூன்றுல
இருபத்தியாறு+cardinal+loc+colloq	இருபத்தியாறுல
இருபத்தியிரண்டு+cardinal+loc+colloq	இருபத்தியிரண்டுல
இருபத்தியெட்டு+cardinal+loc+colloq	இருபத்தியெட்டுல
இருபத்தியேழு+cardinal+loc+colloq	இருபத்தியேழுல
இருபத்தியைந்து+cardinal+loc+colloq	இருபத்தியைந்துல
இருபத்தியொன்பது+cardinal+loc+colloq	இருபத்தியொன்பதுல
இருபத்தியொன்று+cardinal+loc+colloq	இருபத்தியொன்றுல
எட்டு+cardinal+loc+colloq	எட்டுல
எது+pron+inter+3sgn+loc+colloq	எதுல
எழுநூறு+cardinal+loc+colloq	எழுநூறுல
எவை+pron+inter+3pln+loc+colloq	எவற்றுல
ஏழு+cardinal+loc+colloq	ஏழுல
ஐந்து+cardinal+loc+colloq	ஐந்துல
ஐம்பது+cardinal+loc+colloq	ஐம்பதுல
ஒன்பது+cardinal+loc+colloq	ஒன்பதுல
ஒன்று+cardinal+loc+colloq	ஒன்றுல
ஒவ்வொரு+quant+distrib+3sgn+loc+colloq	ஒவ்வொன்றுல
கோடி+cardinal+loc+colloq	கோடியுல
சைபர்+cardinal+loc+colloq	சைபருல
தொண்ணூறு+cardinal+loc+colloq	தொண்ணூறுல
நான்கு+cardinal+loc+colloq	நான்குல
நாற்பது+cardinal+loc+colloq	நாற்பதுல
நூறு+cardinal+loc+colloq	நூறுல
பதினான்கு+cardinal+loc+colloq	பதினான்குல
பதினாறு+cardinal+loc+colloq	பதினாறுல
பதினெட்டு+cardinal+loc+colloq	பதினெட்டுல
பதினேழு+cardinal+loc+colloq	பதினேழுல
பதினைந்து+cardinal+loc+colloq	பதினைந்துல
பதினொன்று+cardinal+loc+colloq	பதினொன்றுல
பதின்மூன்று+cardinal+loc+colloq	பதின்மூன்றுல
பத்து+cardinal+loc+colloq	பத்துல
பத்தொன்பது+cardinal+loc+colloq	பத்தொன்பதுல
பன்னிரண்டு+cardinal+loc+colloq	பன்னிரண்டுல
பூஜ்ஜியம்+cardinal+loc+colloq	பூஜ்ஜியத்துல
முப்பது+cardinal+loc+colloq	முப்பதுல
மூன்று+cardinal+loc+colloq	மூன்றுல
லட்சம்+cardinal+loc+colloq	லட்சத்துல
