அது+pron+dem+dist+3sgn+gen	அதின்
அது+pron+dem+dist+pl+3pln+gen	அதுகளின்
அவை+pron+dem+dist+3pl+gen	அவைகளின்
அவை+pron+dem+dist+3pl+gen	அவையின்
இது+pron+dem+prox+3sgn+gen	இதின்
இது+pron+dem+prox+pl+3pln+gen	இதுகளின்
இவை+pron+dem+prox+3pln+gen	இவைகளின்
இவை+pron+dem+prox+3pln+gen	இவையின்
உங்கள்+pron+pssd+2plh+gen	உங்களின்
உது+pron+dem+med+3sgn+gen	உதுகளின்
உன்+pron+pssd+med+2sg+gen	உன்னின்
உம்+pron+pssd+2sgh+gen	உம்மின்
உவன்+pron+3sgm+dem+med+gen	உவனின்
உவர்+pron+3sgh+dem+med+gen	உவரின்
உவர்கள்+pron+3pl+dem+med+gen	உவர்களின்
உவள்+pron+3sgf+dem+med+gen	உவளின்
உவை+pron+dem+med+3pln+gen	உவைகளின்
எங்கள்+pron+pssd+1pl+excl+gen	எங்களின்
என்+pron+pssd+1sg+gen	என்னின்
எம்+pron+pssd+1pl+excl+gen	எம்மின்
தன்+pron+3sg+refl+gen	தன்னின்
தாங்கள்+pron+3pl+refl+gen	தங்களின்
தாம்+pron+3pl+refl+gen	தம்மின்
நம்+pron+pssd+1pl+incl+gen	நம்மின்
