அது+pron+dem+dist+3sgn+dat+psp_ul	அதற்குள்
அது+pron+dem+dist+3sgn+gen+psp_ul	அதனினுள்
அது+pron+dem+dist+3sgn+psp_ul	அதனுள்
அவை+pron+dem+dist+3pln+abl	அவைகளிலிருந்து
அவை+pron+dem+dist+3pln+acc	அவைகளை
அவை+pron+dem+dist+3pln+dat	அவைகளுக்கு
அவை+pron+dem+dist+3pln+dat+psp_ul	அவற்றுக்குள்
அவை+pron+dem+dist+3pln+gen	அவைகளின்
அவை+pron+dem+dist+3pln+gen	அவைகளுடைய
அவை+pron+dem+dist+3pln+gen+psp_ul	அவற்றினுள்
அவை+pron+dem+dist+3pln+inst	அவைகளால்
அவை+pron+dem+dist+3pln+loc	அவைகளில்
அவை+pron+dem+dist+3pln+nom	அவைகள்
அவை+pron+dem+dist+3pln+nom+add=உம்	அவைகளும்
அவை+pron+dem+dist+3pln+psp_ul	அவற்றுள்
அவை+pron+dem+dist+3pln+soc	அவைகளுடன்
இது+pron+dem+prox+3sgn+dat+psp_ul	இதற்குள்
இது+pron+dem+prox+3sgn+gen+psp_ul	இதனினுள்
இது+pron+dem+prox+3sgn+psp_ul	இதனுள்
இவை+pron+dem+prox+3pln+abl	இவைகளிலிருந்து
இவை+pron+dem+prox+3pln+acc	இவைகளை
இவை+pron+dem+prox+3pln+dat	இவைகளுக்கு
இவை+pron+dem+prox+3pln+dat+psp_ul	இவற்றுக்குள்
இவை+pron+dem+prox+3pln+gen	இவைகளின்
இவை+pron+dem+prox+3pln+gen	இவைகளுடைய
இவை+pron+dem+prox+3pln+gen+psp_ul	இவற்றினுள்
இவை+pron+dem+prox+3pln+inst	இவைகளால்
இவை+pron+dem+prox+3pln+loc	இவைகளில்
இவை+pron+dem+prox+3pln+nom	இவைகள்
இவை+pron+dem+prox+3pln+nom+add=உம்	இவைகளும்
இவை+pron+dem+prox+3pln+psp_ul	இவற்றுள்
இவை+pron+dem+prox+3pln+soc	இவைகளுடன்
எது+pron+inter+3sgn+dat+psp_ul	எதற்குள்
எது+pron+inter+3sgn+gen+psp_ul	எதனினுள்
எது+pron+inter+3sgn+psp_ul	எதனுள்
எவை+pron+inter+3pln+abl	எவைகளிலிருந்து
எவை+pron+inter+3pln+acc	எவைகளை
எவை+pron+inter+3pln+dat	எவைகளுக்கு
எவை+pron+inter+3pln+dat+psp_ul	எவற்றுக்குள்
எவை+pron+inter+3pln+gen	எவைகளின்
எவை+pron+inter+3pln+gen	எவைகளுடைய
எவை+pron+inter+3pln+gen+psp_ul	எவற்றினுள்
எவை+pron+inter+3pln+inst	எவைகளால்
எவை+pron+inter+3pln+loc	எவைகளில்
எவை+pron+inter+3pln+nom	எவைகள்
எவை+pron+inter+3pln+nom+add=உம்	எவைகளும்
எவை+pron+inter+3pln+psp_ul	எவற்றுள்
எவை+pron+inter+3pln+soc	எவைகளுடன்
