இந்த+dem+prox+det+lexlemma=நிலை+noun+loc	இந்தநிலையில்
அந்த+dem+dist+det+lexlemma=வகை+noun+loc	அந்தவகையில்
இது+pron+dem+prox+3sgn+acc+lexlemma=தொடர்+verb+nonfin+sim+vpart=உ	இதைத்தொடர்ந்து
இது+pron+dem+prox+3sgn+acc+lexlemma=ஒட்டி+pp-particle	இதையொட்டி
இது+pron+dem+prox+3sgn+lexlemma=குறித்த+pp-particle	இதுகுறித்த
அது+pron+dem+dist+3sgn+gen+lexlemma=பேர்+noun+loc	அதன்பேரில்
அது+pron+dem+dist+3sgn+acc+lexlemma=விட+pp-particle	அதைவிட
அது+pron+dem+dist+3sgn+gen+lexlemma=பின்னர்+adv+time	அதன்பின்னர்
அது+pron+dem+dist+3sgn+same+lexlemma=நேரம்+noun+loc	அதேநேரத்தில்
இது+pron+dem+prox+3sgn+lexlemma=போன்று+pp-particle	இதுபோன்று
ஒரு+cardinal+lexlemma=சில+quant	ஒருசில
ஒரு+cardinal+lexlemma=புறம்+noun+nom	ஒருபுறம்
மறு+adj+lexlemma=புறம்+noun+nom	மறுபுறம்
நேற்று+adv+time+lexlemma=இரவு+noun+nom	நேற்றிரவு
முதல்+cardinal+lexlemma=இடம்+noun+loc	முதலிடத்தில்
முற்றிலும்+adv+trans=ஆக	முற்றிலுமாக
தான்+pron+refl+trans=ஆக+foc=ஏ	தானாகவே
அதிகாரப்பூர்வ+adj+adv=மாக	அதிகாரப்பூர்வமாக
சட்டவிரோத+adj+adv=மாக	சட்டவிரோதமாக
சக்தி+noun+lexlemma=வாய்+verb+nonfin+sim+past=த்+adjpart=அ	சக்திவாய்ந்த
அது+pron+dem+dist+3sgn+dat+lexlemma=உரிய+adj	அதற்குரிய
இரண்டு+cardinal+acc+add=உம்	இரண்டையும்
ஒன்று+cardinal+acc+add=உம்	ஒன்றையும்
ஒன்று+cardinal+nom+add=உம்	ஒன்றும்
ஒவ்வொன்று+cardinal+distrib+nom	ஒவ்வொன்று
ஒவ்வொன்று+cardinal+distrib+acc	ஒவ்வொன்றை
ஒவ்வொன்று+cardinal+distrib+acc+add=உம்	ஒவ்வொன்றையும்
ஒவ்வொன்று+cardinal+distrib+nom+add=உம்	ஒவ்வொன்றும்
இரண்டு+cardinal+ordinal+trans=ஆக	இரண்டாவதாக
இல்லை+cop+neg+adjpart=அ+PartNoun=அது+nom	இல்லாதது
இல்லை+cop+neg+adjpart=அ+PartNoun=அது+nom+add=உம்	இல்லாததும்
இல்லை+cop+neg+adjpart=அ+PartNoun=அது+nom+foc=தான்	இல்லாததுதான்
இல்லை+cop+neg+comp=என்று+cond=இன்	இல்லையெனில்
தற்போது+adv+time+lexlemma=உள்+verb+nonfin+sim+pres=∅+adjpart=அ	தற்போதுள்ள
பொறு+verb+nonfin+sim+past=த்+adjpart=அ+lexlemma=வரை+pp-particle+loc	பொறுத்தவரையில்
மட்டும்+pp-particle+lexlemma=அல்லு+verb+nonfin+sim+neg=ஆது+vpart=∅	மட்டுமல்லாது
